	chr1p	chr1q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr2p	chr2q	chr20p	chr20q	chr21p	chr21q	chr22q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chrXp	chrXq	chrYp	chrYq	class
V48	-3.7000787371	-5.3084309308	-4.5752550113	-6.5885183387	-3.6679706464	4.0844001471	4.4613025426	7.4043696472	-2.1969166734	-3.8204621275	1.2307784513	-8.7250971495	-9.689838681	-1.8847790029	4.1181490031	-2.6778783654	-4.3410032807	-2.7359052811	1.2047754991	-4.9949474493	-5.3321394555	4.1504033617	1.0907351585	0.5644007728	18.6145769166	-1.9554016925	6.5365795952	-3.4246786523	-1.6773718298	2.0593226798	-0.2333241077	-11.2936728232	-3.3287176828	-3.482978307	-0.2850269835	5.9586693407	-7.2201478706	12.8237939284	4.3070847045	3.4162592899	1.1674692462	3.2191578634	1.1758767873	0.3142933133	VcaP
V49	-3.4116037783	-6.1522434736	-3.8079351455	-6.537637598	-2.5124008562	5.948968846	2.5569850441	5.7885023337	-1.3610829386	-4.1462937779	2.0275368287	-8.8755341735	-9.0455333406	-2.2228228551	3.353743166	-2.0248203441	-3.3038001598	-2.1704935969	1.7756834122	-4.7265929507	-4.8269480155	2.9512092283	1.4684190694	2.6245690022	15.5997180581	-1.7779505764	5.7643226731	-4.5382842553	0.269973931	1.8400839702	1.0885796879	-10.43085903	-5.4323660521	-4.895407032	-1.4691946491	5.6306885413	-7.1408963021	12.7108348784	5.2366238053	2.2486433556	1.5091546596	4.2283123303	0.3407738492	1.4061028615	VcaP
V50	-2.9515703357	-5.4963462965	-4.577199573	-7.1136509304	-3.0543697913	6.5916531564	2.20095741	6.0969276279	-2.067672714	-3.6554266137	1.8441838671	-8.7915431823	-9.3537786139	-2.760995252	1.9986085361	-2.6053515215	-4.3874991455	-3.5556529431	1.3842737642	-4.8975450845	-4.8602324923	2.7495042615	1.9322565965	0.5442518635	17.7399313834	-2.1069764607	5.7943464728	-5.0669393469	-0.3273635908	2.2925470119	0.8178064164	-10.6427139335	-5.0463497719	-3.365648434	-0.6444638992	6.4873737587	-6.3055724523	12.630801339	5.0873064258	3.3004063317	1.0633643273	3.2192101848	0.13807991	1.8634733401	VcaP
V51	-3.0196252276	-5.4126190347	-4.3765019404	-6.3355816442	-2.1356023976	6.5536420056	2.9958327315	4.69999498	-1.6105544271	-3.6973022466	1.8606092803	-9.0235824588	-9.0180394133	-1.8516872535	2.8662510336	-2.9789647094	-4.445970825	-2.167536322	1.0990723498	-5.7542856001	-4.8401785224	4.037673694	1.7105900605	2.1656966067	17.2596175414	-1.980759404	5.8828332893	-5.3597894157	0.2895963452	2.4016257959	1.1878357483	-11.2900281315	-5.27450094	-3.8917084456	-0.1663933915	5.304873797	-6.6098230773	12.6646296591	4.2382895361	3.4377415305	1.7005218044	3.3085142688	-0.1216519059	1.4309427425	VcaP
V52	-3.6240097201	-6.0946873774	-4.8384955948	-6.5652301812	-3.0585735512	6.8987171613	2.3693144748	6.1890376581	-2.6206079461	-3.840617632	1.4234740795	-8.9332096593	-8.8629304917	-1.2556216607	2.3499567522	-2.7858729605	-3.7662706142	-2.4995678695	1.8657935548	-3.3071508836	-4.3244605952	5.0363223332	2.3362433091	1.0202123751	16.0992548083	-1.6535052463	6.4216838436	-4.8096780692	-0.8771533051	1.6826046386	-0.0145612555	-10.8828310025	-5.0522817126	-3.4582277708	-0.0986497162	5.7667170002	-6.228132939	13.3243310706	4.6873562372	2.9211046005	1.0096548655	2.9044890107	0.7122623654	0.8370051163	VcaP
V53	-3.1579738685	-5.4195931868	-4.5092997086	-6.7172528668	-2.4413294153	6.6116901006	1.963868644	5.3368656972	-2.0659458883	-3.7165456817	1.4968824348	-9.1939151709	-8.4664825164	-1.8834183342	3.0963627213	-2.9516697063	-4.1208071011	-2.8920555327	1.8972620091	-5.1342298287	-4.9312699417	3.968122903	2.334947973	1.2084620574	17.3474266375	-1.9524260996	6.1181200208	-4.8721647922	-1.798038216	2.0725140422	0.0554317955	-9.920686739	-4.5297936829	-3.7457246033	-0.9393873995	6.189729671	-6.4448675641	13.1791598052	3.6861302842	3.1992165034	1.6553271681	2.9269583734	0.5932597135	1.6358767597	VcaP
V54	-2.593874716	-4.5900761367	-4.9509368256	-7.2745847054	-1.7716409831	6.158005824	3.0645420356	4.970638431	-2.2813975147	-3.7289557163	1.5713397406	-8.9792254546	-9.6886823519	-1.8793514108	2.8419059982	-2.6877182404	-3.3662370589	-3.8653383328	1.4450950527	-4.9956304469	-4.9246856142	2.5977787332	1.2277785555	1.1157269557	16.1348130241	-1.7222772945	6.0221727571	-3.9306077312	-0.0241551204	2.2103078537	0.6575199864	-11.541817715	-4.6415983797	-3.9945455203	-0.3767094658	7.4232331824	-6.9855198425	13.5079354099	4.533917396	3.763335871	0.6628410999	2.8234992821	-0.4211941017	0.0772901814	VcaP
S1	4.2287980058	2.1980704562	-3.2548071808	-2.1889853785	-1.5030219875	-0.6239195509	-3.8071220579	-3.4920984136	-7.4569832766	1.4333713065	-5.0028555449	-0.2551309353	-7.0699957654	-3.7033108383	1.6112975171	-2.0941061621	-5.2532772048	-8.8964655844	-0.7263937117	-1.1093834927	-9.3270499199	4.587504049	6.7746946564	-4.7229002181	-2.3127036314	-2.0830831791	-3.4551856229	-1.0281272454	-15.761120633	-7.7772394627	18.5924152087	-7.6461535405	-1.5065972517	-8.2499431528	13.827802262	20.1743856428	-11.1074132596	36.4493564655	-7.8109097786	-5.6740093341	11.1118116463	1.3646768146	-6.8502703218	-6.9131813935	SKBr3
S2	3.8794581307	4.1350339683	-1.6769465559	0.0183420247	-1.0939917533	-0.639505644	-3.3466649717	-3.7149799248	-12.5046226377	1.7169740573	-5.5012890851	0.4141112082	-6.3118374281	-4.0096537309	1.9122432628	-1.157447058	-4.7971856172	-9.1572538664	-0.8379368439	-0.919406911	-9.0687021205	4.9624019584	6.8071691128	-4.2166504656	-1.5995897401	-1.913938481	-3.8675559347	-3.3198148849	-15.4441224034	-9.5433582825	22.9948671937	-8.4704146093	0.7091603983	-8.5339374773	11.5775909815	22.655381603	-10.3392170445	33.4035360376	-6.3787641169	-4.8840028981	13.1893999299	2.0617256828	-6.6684724823	-6.842988897	SKBr3
S3	2.5550553478	-1.2565821744	-3.3968349217	-2.8887653759	1.1060441256	4.5412701502	-1.7969374555	-0.7529976965	-2.9587652994	-0.7207073135	-3.0868055278	-3.052895742	-7.3404950614	-2.3327114816	2.0165629561	-2.8002139329	-5.0201214679	-7.0978390505	1.2435443025	-3.6961936484	-8.6653003139	2.0028294416	7.6120998996	-1.8341250084	1.0532238617	-1.6292919457	-7.9828944294	-10.4490372231	-10.4413877529	-6.1869705754	27.044180189	-5.2599458518	-2.0758433337	-7.4117843335	9.7101103087	18.3820106962	-9.2451827451	24.8061959864	-5.4810587157	-3.6955174708	8.3718961385	4.1004169279	-5.095489763	-4.9295386127	SKBr3
