	chr1p	chr1q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr2p	chr2q	chr20p	chr20q	chr21p	chr21q	chr22q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chrXp	chrXq	chrYp	chrYq	class
S14	4.73956419	1.3714234009	-3.779204424	-2.0839057459	0.4079728767	-1.1090376067	-3.6674785877	-4.5137517302	-5.2134269739	-0.1406422943	-4.630049818	0.3493145144	-7.5519526797	-4.4173843553	1.1572313479	0.0494672637	-5.0222515025	-9.556284815	-1.7311559237	-1.8890790598	-10.057083297	3.2681227155	4.2914147179	-5.1512524509	-1.2207400378	-2.1623438728	-3.9685933786	0.019285978	-15.7235112307	-8.9254970578	23.8237558545	-8.7727991044	-2.1890658817	-9.561532979	13.9585159261	23.2951928613	-10.3477960255	37.3309227773	-8.6545177786	-6.5083723639	11.0968815603	1.3064499574	-6.3303118167	-6.9210444557	SKBr3
S15	7.7449425346	4.1876540953	-7.3851300546	-2.6741342463	-5.4169322439	-0.9248128492	-2.7193969828	-4.6670592624	-15.2954361912	-1.7534569635	-7.4068061068	-2.6458868053	-6.6861724673	-3.2849410923	-0.9990402089	-4.2541350256	-6.823888011	-9.571851136	-1.7684118055	1.9064741505	-6.2859190984	-1.2988292077	-3.1873597238	-5.0088977524	-2.8222827551	-3.2938486162	-3.3373250105	5.3814161318	-14.0137447371	-7.8566620872	14.6372229428	-5.0953039307	2.6597722362	-3.7509201344	17.158875139	21.0462593392	-11.6024577941	29.7136513382	-6.9369473437	-4.0966994476	13.7252299585	2.6739529931	-6.2322526534	-6.8286436288	SKBr3
S16	4.4975057818	4.6650513847	-1.4509119055	-2.4897344135	-1.6562133655	0.7448325075	-3.8887774196	-3.855082559	-7.0991583458	1.3210293208	-4.6715868688	-0.1799117742	-5.4701928609	-3.791871158	2.5718798546	-0.5612953222	-3.8083528005	-7.77278061	-0.2090023835	-3.3355290073	-9.4146986023	4.0700031789	8.1078702299	-4.3268673014	-1.5139188627	-1.5233261864	-3.6370856472	-1.1675820355	-14.4949805118	-8.0254542032	21.0825664862	-7.967220822	-1.83668518	-7.1925213281	8.9766064626	17.3194306174	-10.7763198122	35.0324493179	-7.8371414083	-5.4782139723	10.4535670487	0.9281577239	-6.6981081705	-6.8276129931	SKBr3
S17	1.368498688	-0.4341432339	-0.8510293403	-0.1141060377	0.3163718621	-1.0691360246	-4.0949299301	-3.2745959532	-7.0757429061	1.2032843114	-2.8988196817	0.5705491337	-5.2536915573	-2.6391529953	1.6095875054	-3.8430220882	-7.0085508349	-6.5837402719	-0.4595761215	-3.2222937603	-9.3014925649	5.9306010201	7.6614362995	-4.6847841151	-1.1225231356	-1.3929077198	-1.8482969849	-0.2263232324	-14.8067797006	-7.1783389868	18.1389148681	-8.9632646369	-1.6103281226	-6.4926180777	11.9428558125	19.0185515963	-10.7668058535	35.5582250189	-8.0506573078	-5.9115272753	9.8296913598	0.9686900754	-6.935068651	-6.7896672928	SKBr3
S18	5.4721606737	3.4594801243	-3.4677861591	-2.5348566116	-0.9853325332	-2.3728239596	-3.6649682128	-3.9144329409	-6.4087223781	1.8013322907	-4.17044781	-4.7591259588	-7.0959345028	-3.9952914544	-0.4608565361	-2.2273216209	-4.2724828307	-9.6276749616	-1.0911532522	-4.4560335987	-10.8707465348	4.9026976424	5.3281887438	-5.1504824904	-1.9280764833	-3.4497622415	-2.5300590634	-1.0161382837	-14.494820488	-0.8388587546	22.0924630379	-8.8516809086	-5.442354769	-7.1539753793	10.03693548	15.5664367187	-11.3076041881	34.3885715106	-5.7113612161	-3.7243889055	10.8164037072	1.1989216136	-6.9203149773	-6.9240930701	SKBr3
S19	2.2026207473	4.4583114211	-1.9624861608	-1.5657231256	-1.3033198415	-0.7379649313	-3.9338944351	-3.9226699676	-8.5605430617	0.783116495	-3.1610583325	-0.2890403832	-6.1296627916	-3.5438280936	2.8486879327	-0.8586069298	-4.4226527354	-8.3797898112	-0.7782452371	-2.9215481816	-9.1357003865	5.4698883684	7.5952220395	-4.6245272059	-0.4432868461	-2.0825645012	-3.0165079472	-1.3638928615	-14.9251894727	-7.8122594784	23.5517503213	-9.9029735536	-0.2953040857	-7.4728795074	14.0257725233	17.8371758137	-11.2319962177	35.9212783327	-8.3234093036	-6.2901038308	10.1419306018	0.9223668241	-6.9306349754	-6.9355822828	SKBr3
S20	3.6497135754	1.7299333795	-2.5507158775	-3.3586640805	-2.3557667831	-0.47954453	-4.3089285638	-4.0088305075	-5.8618579803	2.1663681674	-3.770493734	-1.5443401698	-6.2292707248	-3.7920184105	2.2030906834	-2.0922759029	-5.5075156491	-7.8995756941	-0.828002214	-3.0762279132	-8.9818463734	4.5745650368	7.0283533677	-4.625772409	-0.3168011449	-2.253553515	-3.4659756088	0.5637052894	-15.2735340341	-7.4418771735	20.3651499393	-8.8530523903	-0.6811602936	-8.6498241555	10.5223165944	18.728603976	-11.2980934932	37.3594635562	-9.039466255	-6.3331132107	10.7548918293	1.7112582704	-6.9310582662	-6.9232097223	SKBr3
S21	3.5812615162	1.5535362578	-1.4418429908	-2.3839693552	-2.0374938468	0.3162938992	-4.2034125605	-2.8905676469	-6.8945996825	2.5293450871	-3.7537806559	0.6573724552	-5.3131140636	-4.0976046814	1.5450811689	-2.0623033693	-4.948008081	-9.1121450113	0.4309299565	-3.3701851251	-9.4561158346	3.7638163833	8.0541376995	-4.378330571	0.2211882594	-1.911965259	-3.5140079968	-1.6383760416	-15.2239681773	-7.5108157673	17.8987919405	-8.3299502544	-1.9962105519	-8.3370795398	13.6673113424	16.2287185393	-10.6474875593	40.5803152695	-8.538931389	-6.6202068206	9.073700146	0.6285925268	-7.510960097	-6.8729695815	SKBr3
S22	4.9019099305	1.9900175989	-1.6074739145	-2.009040669	-0.9940233976	-0.2954695042	-5.1817743333	-4.0910268272	-7.4504163464	2.0492239727	-5.1520504945	-0.5777966912	-6.9672219223	-4.0457631338	1.4910922917	-1.320674735	-1.9648841004	-9.2657745147	-1.0651565169	-1.3309487836	-8.7330953966	4.5084565637	5.9403975766	-4.3279436791	-0.8725243301	-2.4217874882	-3.518808582	-2.437746927	-14.8099911149	-7.9254714813	21.6067604668	-9.6157106083	-1.0510332344	-8.2585606284	11.527344182	20.6509536247	-10.4391152584	35.8767887287	-7.8019373573	-5.6187184148	10.7632524836	1.1820511044	-6.9343832743	-6.9002200095	SKBr3
S23	0.8028354091	5.0243631232	-2.6808580766	-1.5408657309	0.6276313936	-0.0549372818	-4.6381918221	-2.517867995	-8.5751406317	1.1234997515	-5.0155811494	0.7441252327	-4.7532492735	-4.2436300222	-0.2002197211	-2.7641978842	-4.1450283839	-9.2537512382	-0.2514657663	-2.0582030285	-9.1236843417	4.0925549409	7.7900095005	-3.6632505468	-0.2428636921	-1.753999744	-3.5915567178	-0.707175273	-14.9070190486	-7.1581233018	20.3377672713	-8.276822971	-0.7553303218	-8.1119333024	9.0210304229	20.0555537152	-10.8482302041	34.677596042	-7.5235548662	-5.2637762407	10.8775188945	1.1215356349	-6.9762605302	-6.9306137453	SKBr3
S24	6.2196426739	3.7349659771	-2.3979474673	-0.4911245211	0.5425241118	-0.2564915295	-4.4169245782	-1.9080513472	-7.7705549395	0.6834298694	-2.976087336	1.3879032045	-5.6033253544	-4.5232970224	2.6177175447	-1.5827494404	-4.5615373724	-7.9099112005	-0.1605724934	-0.2627951588	-8.5854728604	3.8580071314	7.9967288495	-4.1977250744	-1.3633151555	-2.4443068362	-2.7823808363	-1.2208760272	-14.388436892	-7.9315438861	19.978492594	-8.667618114	-0.7478500164	-9.2568333987	14.2497452625	18.325716349	-10.7009434798	30.0339925676	-7.4358890631	-5.3556900331	10.0271319616	0.858449307	-7.1076190548	-6.9425832706	SKBr3
S25	4.2994380997	2.1342873779	-1.017870752	-2.4022556991	-1.9285390392	-0.3985933854	-2.6609486767	-0.9891412927	-8.2990878953	-1.2613833262	-3.9859947889	0.8998167813	-5.6241166809	-3.3646637553	4.0841411998	-0.782477644	-4.3522970746	-8.2693329112	0.1982908586	-2.8889684809	-9.1971940188	6.8750535008	10.2468576674	-4.9208926186	-1.3562112838	-1.3085127324	-2.3573655031	-1.0252431003	-14.5222005704	-7.7911344253	16.5320352894	-7.7138239041	-1.2747326218	-8.0383881742	13.175644914	16.2514876968	-10.4477276532	35.2885710472	-6.9294062798	-5.5340669303	9.6052761189	0.6673158947	-7.5778225016	-6.8911150982	SKBr3
S26	5.6180134779	4.5533559027	-2.1599064686	-0.2387831167	4.4216591392	-0.1835859538	-3.0503249854	-2.7757739955	-6.9358468002	0.2995390165	-3.1913862954	1.6633228146	-4.9272469289	-3.0171733492	3.8482741464	-2.4694090717	-7.1226161248	-7.4326991499	1.4184447184	-2.7052406307	-9.3112025928	6.9933958986	8.8118399684	-4.3051452677	-0.6259592762	-0.6342957961	-2.8439294079	-0.9157459366	-14.8154698454	-8.7097226447	16.0528813574	-9.6440880443	0.5015823204	-7.9069180282	12.3372241595	19.2632017025	-10.6240101575	30.1093071264	-8.4251751345	-5.3071806199	10.2205578087	0.1432077445	-6.9997386051	-6.8738667377	SKBr3
S27	4.4478555877	3.1241523957	-2.8371188038	-2.6323873352	-0.1245725794	-0.4762868578	-4.6050708084	-4.1918185835	-8.1269909918	1.1832443241	-5.7521806802	-0.5061860487	-5.8387064885	-3.9012369496	1.1124558113	-0.6616598301	-5.0679168546	-9.065636889	-0.2149494496	-1.9499655746	-8.7570387666	4.1152162075	7.0446408759	-4.7888566695	-2.1926953194	-2.0878847795	-3.2387886363	-1.3169793552	-14.680987761	-7.4959095856	20.8902960305	-9.1017516229	-0.6607332046	-5.4489450551	11.5144684509	20.58647994	-9.673608615	33.2949314445	-7.6614549859	-5.7108378193	10.6933767596	1.1464636342	-6.8132140325	-6.9280904472	SKBr3
S28	-4.1206792971	-5.5409376967	-5.1020463575	-6.173279706	1.365681344	-0.1235773516	5.0837026064	-3.9684988626	16.8592717845	-13.2624800038	5.7250881533	-5.2453756088	-6.5885658259	-7.7176127851	1.2417108861	-0.271839365	-13.641790991	-7.9666511155	-1.5913808272	-0.7324509176	4.4989205763	2.2319877328	5.9623331923	-4.3459968922	-8.3822282265	-3.8861298639	-17.1373575785	-1.1505250692	-6.2525464198	-8.6292665941	19.9446937895	0.0350081906	-2.7755484664	-2.6568161693	3.9060679212	12.0789958636	-14.6669002486	17.7031562925	-5.4423131938	-2.0425748258	9.7995350687	7.530645694	-5.4930440201	-6.7842595315	SKBr3
S29	7.2227490493	4.0126691106	-7.982695247	-3.9873535491	-5.6005985683	-1.4633409214	-2.643243923	-4.2342889365	-15.755628926	-0.7258044187	-6.8168707967	-3.0375075228	-6.5828152572	-3.2203246507	-0.6807493955	-4.3087665548	-7.6061226165	-9.871636316	-2.1524300482	1.2724383028	-6.6571120557	-2.2520542762	-2.8170276806	-4.0373656353	-3.5509422028	-3.5813272288	-1.8048411163	5.9615470428	-14.1133623762	-7.62175175	14.8587848825	-4.2229967825	3.2614353005	-3.8276513287	18.9068229506	20.9627764467	-11.7228218377	29.0774079044	-6.5799941052	-4.889653075	13.6568482955	2.812400508	-6.4677544637	-6.921888739	SKBr3
S30	-4.4776630853	-6.1020160657	-3.2289773645	-6.1203622249	1.9405932263	-0.4955388391	4.0126635095	-2.3793034377	14.3231920041	-13.3374700391	4.6406889426	-5.1218461635	-6.2261207552	-7.4183658378	2.0514137351	1.9107488603	-12.1910798307	-7.7845408456	-1.5082785364	0.42785303	3.3985258434	0.3629924015	6.8306041469	-6.0720421689	-8.6389109942	-3.9069600511	-16.6181173081	-1.8943527225	-5.9002059987	-8.4282002946	18.7583933652	-0.8517364272	-2.4667692835	-1.4942062248	4.1020812258	11.8044001266	-15.1719954049	18.2632963163	-3.3953070955	-2.1304746491	9.1306802812	7.8136320444	-5.4208521427	-6.6707801359	SKBr3
S31	4.0351283495	1.4417004518	-3.7768471966	-3.3566329259	-0.7525086358	-1.19283859	-2.9730559835	-4.0238006987	-5.1643360891	0.7290430248	-5.3683964749	0.2367325569	-7.8447903884	-4.7986234514	2.0481600392	0.0921723225	-4.7615623019	-9.5150638067	-0.6027553445	-1.2517527521	-9.8932668903	4.2940103151	5.1945680275	-4.5426569221	-1.2996776514	-2.493688744	-3.4629422316	-0.5888881724	-15.7292583992	-9.0795535807	23.734139151	-8.4532902848	-1.9484731241	-9.6471606546	12.9768441424	22.8702893359	-10.8053531561	38.2637545403	-8.7703023034	-6.8095710947	10.8415402579	1.2744333545	-6.2958977584	-6.8983641459	SKBr3
S32	4.2415386723	1.4265544778	1.520539649	0.8536795064	0.3740835713	0.9924758095	-3.6273620131	-5.1235772492	-7.1078042388	0.1216420957	-3.2711444226	-3.1008800304	-7.2014026824	-3.3092410106	0.1772085981	-4.573689303	-3.4637140877	-8.3659355473	-0.1116768439	-3.8704437818	-11.8218612568	5.0956388723	6.5907176055	-5.0807636436	-1.3870725361	-2.4531993861	-2.7490936295	-0.5461111565	-15.6687565764	-8.1040330144	18.6441014563	-7.6125562145	-1.1100436693	-8.6217657767	19.2728837203	18.7189708011	-10.5360155111	31.2984581934	-9.4679822503	-4.7660712554	13.3555203565	2.3882183831	-6.5070602462	-6.890295974	SKBr3
S33	5.2867688193	3.2530872527	-0.8833872468	-1.1871221394	-0.1190949292	-0.821750038	-3.2798071606	-4.4104451904	-6.4528004745	3.4641686033	-3.0976559147	0.1440015839	-5.9979123213	-1.4853697001	4.1919782654	0.9413847125	-5.9491004769	-8.3644744676	1.1123496179	2.4179945293	-8.8168484757	3.8055628644	10.4867904432	-4.5970773608	-0.6729135338	-0.1666261291	-0.576211753	0.0867798643	-14.9853848743	-11.7679378733	13.9504822813	-8.9006838667	0.5779466122	-8.3252916406	9.7210847259	17.5437389472	-11.023643503	35.9452010499	-9.5768364348	-5.1027353426	8.5971514924	-0.0912338895	-7.0999241098	-6.6165222528	SKBr3
S34	1.0884149989	-0.3963661114	-2.0602835086	-0.8573202863	-3.999571144	-0.9785085671	-5.1173464436	-4.522687657	-8.1457863596	2.340062826	-4.8138104705	-1.9220609864	-6.3300568071	-5.5725883682	0.0287708782	-3.5773250176	-6.5400088298	-10.07411241	-0.6051296548	0.9384193968	-9.3795551129	4.278838579	4.9150300294	-3.1502591688	-0.3965257154	-1.0937729141	-2.4153280707	-0.8465061941	-15.6265821072	-7.7625797956	25.0269695276	-8.1251396374	-1.3241756011	-7.063831642	11.4172677183	15.5951445925	-10.7416159838	40.4583184256	-6.8159308787	-6.2203825421	11.5177470868	2.0480114049	-6.8630269459	-6.8685246581	SKBr3
S35	2.4545333656	2.1264946226	-6.1477365506	-2.234011945	-3.2648017163	-3.1298532847	-5.4180118612	-3.0026277184	-3.3804352808	-0.0389540118	-6.8411475278	-2.1192594348	-6.42264998	-4.6686708113	0.4353967591	-2.3977082381	-3.6580215787	-7.9954359363	-3.3621358328	-1.0903680931	-6.4365845528	-1.3194439846	7.4558572038	-4.5164047865	-1.3841739322	-3.6704589847	-2.3818196641	-1.2206730375	-13.6878829862	-4.5196019251	18.7390844848	-6.2302122548	-2.8408533146	-7.1741750152	8.0738375406	25.491694833	-9.7879603947	32.8010596979	-8.894974681	-4.5415119891	9.7398415959	0.5085158648	-6.2240814568	-6.1737535789	SKBr3
S36	11.8038571852	0.549338831	-7.8407539107	-11.9892391948	-5.8015569853	-5.4370878637	-3.6756795074	-2.6551146659	-5.8825266769	-1.539366669	3.6700928124	0.7542066695	-4.729908886	-2.4942847255	4.5530765654	2.3978378984	-0.3057923255	-8.164786315	2.4979533	-12.1875603866	-15.6396951966	10.6234870234	8.5251144518	-3.6986634191	-1.3068593267	1.2987752768	-0.1553809382	-0.0680385361	-12.0289184243	-7.1283724585	20.4145104941	-8.9422558621	10.6845091975	-3.3309050415	2.5460796898	13.1849712397	-10.2043121026	27.7906932812	-11.1779585265	-8.0141469417	16.2730165236	4.7926550975	-5.9760449839	-6.8573577738	SKBr3
S37	1.3505675915	15.4831954365	-8.4824381069	-3.9293649483	3.7218681416	4.7832010023	-3.4727948906	-4.6396121191	-12.5383231521	-2.4547388338	-3.9473552689	2.9380349644	-3.91259609	-1.9561969999	4.73772229	-2.0438165485	-6.9561122099	-8.4728689657	0.6281066942	-5.8023987444	-8.5788061405	2.560572118	9.2216188802	-5.2455585015	2.5207609115	-0.2236612406	-6.4501417238	-6.0548019245	-11.4131655987	-7.1556187638	22.6840894199	-6.3725581122	5.2475700132	-3.6746388392	9.9688326508	25.1485289489	-10.4781669425	27.5140700456	-10.9995784265	-7.5260082313	7.9919690035	-0.9828869102	-6.9696777636	-6.8723073274	SKBr3
S38	2.4544822863	-3.3593453301	-1.2975643374	-1.3177850219	0.2157657265	-0.6561230051	-5.9329950931	-5.1064827614	-7.7692977276	8.2161360544	-4.0339740151	3.9081809305	-2.2164744184	-3.6360492243	3.0117296237	-2.0887210185	-9.6006093476	-8.3202589387	-0.2141132696	0.4297244387	-10.1753586334	4.9857789173	9.5264478894	-4.6289075847	-2.8203557566	-1.344370228	-2.5346124367	-2.0981968992	-18.179424488	-8.1582258806	19.5394654158	-9.1569611931	2.0947917796	-7.2248160215	16.9491480231	13.4091926806	-7.2047049471	34.8606382431	-7.2737228902	-5.4701654101	12.3033789196	1.326107772	-6.8163163381	-6.7596028326	SKBr3
S39	-2.4404123214	2.8413695587	-4.1373767205	-3.2864831592	-10.106857301	-8.9506383679	-8.5253012232	-14.3106385049	2.5519511783	12.5517494299	-3.7688635454	8.3545024112	3.2900295205	-7.4384067629	-0.2386721033	-4.5636764316	-12.5781120806	-6.9327180282	-3.4206218358	7.9638246018	-2.5982411157	-1.8237644293	3.6949042763	-2.7879406077	0.0975255168	-3.9878468824	-8.3125630118	-7.4206263624	-18.0537424661	-11.2294776061	42.8139662239	-3.0561685266	-9.2587813925	-12.2643117709	24.0381041236	31.5460105407	-13.1351831927	32.5209720383	-11.8006696507	-9.1632328083	11.912927947	1.7702128605	-6.5683722629	-6.4426627713	SKBr3
S40	7.5614537832	2.5524385316	-6.5992143896	-3.6426394068	-0.6873109567	-0.2312129664	-3.4859638542	-4.2680140121	-3.9305696618	3.3162143236	-3.9190210162	-1.3666467194	-6.749326439	-3.8931467247	0.9654863973	-1.9930654429	-6.1846596703	-9.8989417503	-1.3470977243	-4.425822345	-10.5186024916	4.0236328536	6.0167607924	-3.5764799459	-2.8672445807	-1.5548887543	-2.0558629972	-1.4165440008	-15.6019711203	-8.9346804499	18.6936798709	-7.0647428442	-3.3579982867	-9.1318707439	13.4567764622	15.8484921379	-11.2933188191	41.0000047789	-8.2336148717	-5.2661965964	10.7286820746	1.2853326912	-6.950205846	-6.9082320913	SKBr3
S41	6.9643344205	3.0446937645	-2.9558587435	-0.2849409855	-0.0198152787	-0.9525131998	-2.3619228533	-3.7539607365	-10.4857805386	-0.7451946655	-2.8376264525	1.8934969499	-5.4215919771	-2.7082191618	4.0721074897	-1.668458035	-3.8409561739	-7.9037436678	1.0811999703	-1.0590621169	-8.9618966866	7.8467055168	11.250539556	-4.2146576775	-0.32932682	-0.9121584677	-4.7257904826	-4.6544099802	-15.2501456408	-8.287590247	19.3179517396	-8.4604965358	2.5817574227	-8.1911260102	15.199069096	22.701200014	-11.1786169724	27.7535676888	-8.9357447	-5.1629259485	10.7046209393	1.2978534639	-6.7757189116	-6.9157607438	SKBr3
S42	5.5255251952	-0.2851097331	-0.4250401122	-0.0817937829	-1.8037817439	0.1760199162	-3.2131850747	-0.767666299	-10.0912869302	3.2967654955	-6.748282471	0.389950092	-6.1819019712	-4.6536153137	1.6268889888	-4.0132079824	-3.7725918701	-8.7813930482	-1.8142695909	0.0563761718	-7.0217109984	3.1543248084	6.5268672465	-3.3287426452	-1.7686681574	-2.4335640394	-2.4604303758	-3.1059497458	-14.6969045851	-6.2362840498	19.4118782816	-6.3493160888	0.105149384	-7.7790056714	10.917313494	14.6884417504	-10.6885086009	33.2593088613	-8.3661042554	-5.8679701946	11.1619208257	1.5986554754	-6.656976847	-6.8927427844	SKBr3
S43	5.8367481133	6.8086028662	0.7156708728	3.802860073	1.4209106431	-0.4545541416	-4.398264834	-7.3817500576	-11.8129567758	5.7682176729	0.3679391772	-0.9381713489	-5.5003631532	0.0212685609	3.4335214658	-2.4012964869	-5.7940637016	-6.7605202927	3.1245270299	-6.0178318597	-6.7671820888	2.5591549181	6.4075674355	-4.4749456581	-1.5288565365	-1.4622845756	-5.5847116245	0.7471104784	-16.6845237375	-6.5504164567	16.2774240824	-9.2955222923	0.6396384922	-7.5938302985	7.2763653934	16.8823898533	-9.8649278519	30.4734815367	-8.3798940076	-4.1430247405	10.6060742116	0.0921469567	-7.2825164594	-6.9200161503	SKBr3
S44	4.2222644624	4.6941142055	-1.8893899649	-1.8129279924	-1.720461201	-0.9568069192	-4.36249492	-3.6342981567	-10.7714361616	0.6908454905	-6.9615654514	-2.0650231355	-6.220538965	-4.2814783871	-0.2887504537	-4.3677132504	-6.9639019112	-8.5602073925	-3.0237352232	-1.8266011393	-9.4481921188	1.960976464	3.9608973076	-3.8883644047	-4.4368375759	-3.6844514497	-3.5151487411	2.1026150095	-14.0397175615	-7.9808462742	26.8109163651	-6.2866128013	-0.8627853502	-6.7751786834	10.7416698166	23.0461239499	-9.8649443081	32.4303722588	-6.8961533427	-5.4897673403	12.0474966591	2.1001284356	-7.209245749	-6.9425832706	SKBr3
S45	2.8303053117	3.6103671966	-4.9414823451	-2.2397193195	2.7406320705	0.9101044707	-3.3085202631	-1.4566150944	-8.165177181	3.4418054726	-5.8317494012	-1.5503380254	-8.164295473	-4.9097437477	-1.9043224765	-1.7657162369	-7.1974091346	-9.8141578962	-1.5777273776	-0.5824153293	-6.560012858	0.040859886	2.1633269543	-3.3577535458	-3.5388966334	-4.0335622268	-3.1634404309	-2.8199279308	-13.9461318778	-7.4259887199	22.32937514	-8.0859756255	-4.9749297805	-7.1678608433	6.6040004805	19.5716634006	-9.2059115588	32.9303887689	-7.4859399568	-6.0481650893	14.2858675806	3.6783304344	-6.778598495	-6.8040650616	SKBr3
S46	4.8407020094	1.8852882102	0.0938731543	-1.4984147252	-4.9704825464	-3.4021593451	-7.2677212488	-7.7901606107	-6.9531766915	2.0005476786	-5.7531440322	-2.7886441686	-6.4777538818	-5.8523459756	0.2072167906	-1.377829203	-5.6983574946	-8.5973286845	-2.4105118396	4.5728677526	-5.1797399893	0.7187287334	5.2174116968	-3.1601551495	1.1977730615	-2.5780456015	-0.2726938288	1.9746094229	-15.6889431214	-3.2243028784	21.0267706178	-5.4023394815	-1.8292808501	-6.9021145115	10.9058685278	20.1224978562	-10.3489577519	29.4180147591	-10.7056084445	-5.9894992908	11.3922358051	-0.4606859041	-6.9661744874	-6.8672922442	SKBr3
S47	5.7064031327	4.4563971762	-1.0213590488	-1.9610310861	-0.723284334	-0.3090392785	-3.4311002691	-3.302009373	-8.8593414081	2.5274913633	-3.5083308562	0.698772193	-5.3053516892	-4.3095727798	0.524324873	-0.364717148	-5.3085356092	-7.3244809925	1.0345980343	-2.6638430339	-9.002380128	5.2125230957	6.6270271195	-3.7103295733	-0.4368787536	-1.2326110694	-3.0247763961	-0.3495190412	-15.1094737589	-6.8592551391	21.7360459755	-8.1140405606	-0.5929821762	-7.252820569	9.3009998002	15.0479843369	-9.0492572439	29.8982496757	-7.6044193176	-5.5978718416	11.4664946065	1.3896903379	-6.9580523842	-6.7936987168	SKBr3
S48	5.747842822	-1.5426558344	1.1777367644	-4.1362265992	-6.3949423664	-0.5746978847	-7.2617419577	-5.9235951598	-2.9111836898	-6.0986911371	-1.8016591138	4.6197406627	-3.9504077938	-1.5969426869	0.6126867013	-0.0950131308	-1.65608162	-8.681379122	0.5818340319	-1.4774810778	-13.0638906745	3.3719602037	9.130305958	-3.3795408052	-3.2192943185	0.2974556766	-6.3639272261	2.2841238383	-14.3525423917	-3.9990840056	15.0310079593	-0.5949438572	3.5341485626	-6.178604096	1.8376956484	24.9662184734	-12.4826324185	29.2731294574	-10.4000733066	-5.9119543292	9.9577324752	1.3946267093	-6.8359288693	-6.8692767666	SKBr3
S49	2.8849789225	3.7262976585	0.5908852009	-0.671058938	-1.5692408842	-0.0379298856	-1.5221611043	-2.4016639851	-5.3029723127	2.1733000642	-3.3273428195	-2.4609955306	-4.9158943211	-4.665301557	-2.6175272448	-0.8730390396	-3.4841110218	-7.0370367666	-1.6471500282	0.2753395956	-7.0920490816	5.6540282728	4.36583514	-3.2190579247	-3.4238970474	-2.1775506751	-0.317757836	-0.7788424836	-9.5112334845	-3.4330442026	15.6514514384	-4.1602217625	-4.6527304022	-11.3418435971	3.1157119232	13.1322228692	-8.4255196726	21.5599441596	-3.08018698	-3.5584891915	10.2389402514	4.2856402229	-4.9938091814	-6.8476805653	SKBr3
T1	-0.6244917462	-0.3089771285	0.4311247574	0.9328351454	-0.5533741557	1.8693428181	-0.7621260924	-2.365236369	-1.8531207058	-3.7528734097	-0.0694513938	0.1688222258	-0.4720146382	0.5862165375	-0.8796250178	-1.1454756932	-0.4791776649	1.2124079234	-0.3126762375	1.0260520125	-0.5599162556	-2.2434127752	1.4724184337	4.3309743889	7.4192793756	0.5870800041	-3.1023080155	-0.8894731535	-0.1187017532	3.1055411573	-2.5322533714	0.048198229	-1.6741086633	-0.2648299453	-0.5524799437	-2.0064831379	0.9806569942	-0.8190517612	0.8890914951	-1.0024792681	0.5776854069	0.6056213968	-0.8841349873	-0.4005374374	Trisomy21
T2 	-0.2440294201	0.4246940438	-1.2741665929	-0.366235469	-0.262483053	0.7305506544	-0.1908963013	-1.0558352551	-1.9783448851	-1.1989483818	-0.500209036	0.268153496	0.0404415448	0.5777483935	-1.6444065121	0.5296675732	-1.4782137952	-0.1043499113	-0.5916459558	-0.6480100414	-0.5601410269	-1.1912710987	-0.5187928239	3.9863040877	9.1562817792	-1.0491479439	-0.0432808381	-1.0456528415	0.3593321983	4.7348369799	-1.7863828391	-0.3373189341	-0.2496245103	-1.3389427972	-1.9083288264	-0.7808517917	-0.2679618825	-0.7930546075	0.2878177006	1.3785924777	0.1446028059	0.1160653093	-0.5936196817	-0.4134126023	Trisomy21
T03	-0.6244917462	-0.3089771285	0.4311247574	0.9328351454	-0.5533741557	1.8693428181	-0.7621260924	-2.365236369	-1.8531207058	-3.7528734097	-0.0694513938	0.1688222258	-0.4720146382	0.5862165375	-0.8796250178	-1.1454756932	-0.4791776649	1.2124079234	-0.3126762375	1.0260520125	-0.5599162556	-2.2434127752	1.4724184337	4.3309743889	7.4192793756	0.5870800041	-3.1023080155	-0.8894731535	-0.1187017532	3.1055411573	-2.5322533714	0.048198229	-1.6741086633	-0.2648299453	-0.5524799437	-2.0064831379	0.9806569942	-0.8190517612	0.8890914951	-1.0024792681	0.5776854069	0.6056213968	-0.8841349873	-0.4005374374	Trisomy21
T05	-0.2440294201	0.4246940438	-1.2741665929	-0.366235469	-0.262483053	0.7305506544	-0.1908963013	-1.0558352551	-1.9783448851	-1.1989483818	-0.500209036	0.268153496	0.0404415448	0.5777483935	-1.6444065121	0.5296675732	-1.4782137952	-0.1043499113	-0.5916459558	-0.6480100414	-0.5601410269	-1.1912710987	-0.5187928239	3.9863040877	9.1562817792	-1.0491479439	-0.0432808381	-1.0456528415	0.3593321983	4.7348369799	-1.7863828391	-0.3373189341	-0.2496245103	-1.3389427972	-1.9083288264	-0.7808517917	-0.2679618825	-0.7930546075	0.2878177006	1.3785924777	0.1446028059	0.1160653093	-0.5936196817	-0.4134126023	Trisomy21
